key,jp,en
dish2_2,メロン、もずく酢、だし巻き玉子、天ぷら盛り合わせ、鰻蒲焼、海老ポテト焼、さわら照り焼、刺身盛り合わせ、とろ湯葉、サーモンマリネ、青菜のお浸し、味噌松風、梅山ごぼう、ヒロメの煮物、ご飯、吸い物、香の物,
dish2_3,天ぷら盛り合わせ、メロン、味噌松風、鶏八幡巻、ヒロメの煮物、だし巻き玉子、鰻蒲焼、むつ照り焼、いか柚子ジュレ、カニグラタン、こはだの酢の物、刺身盛り合わせ、ご飯、吸い物、香の物,
dish2_4,国産和牛すき、天ぷら盛り合わせ、さわら照り焼、海老ポテト焼、鰻蒲焼、季節の果物２種、だし巻き玉子、こはだの酢の物、ヒロメの煮物、とろ湯葉、サーモンマリネ、青菜のお浸し、味噌松風、梅山ごぼう、刺身盛り合わせ、ご飯、吸い物、香の物,
dish2_5,国産豚豆乳鍋、ヒロメの煮物、タイのカルパッチョ、海老と野菜のアーモンド揚げ、甘鯛ときのこの奉書焼、チキングラタン、だし巻き玉子、しめじの胡麻和え、里芋田楽、ローストビーフ、南瓜茶巾湯葉あん、メロン、紅あずま甘煮、ご飯、吸い物、香の物,
dish2_6,鰻釡飯、国産和牛陶板焼、天ぷら盛り合わせ、季節の果物３種、だし巻き玉子、味噌松風、海老いも寿司、黒豆串、鴨黒胡椒焼、ヒロメの煮物、ロブスター雲丹焼、南瓜茶巾湯葉あん、中トロと刺身盛り合わせ、茶碗蒸し、吸い物、香の物,
dish2_7,とろ湯葉、ローストビーフ、こはだの酢の物、だし巻き玉子、胡麻豆腐、季節の果物２種、甘鯛ときのこの奉書焼、海老ポテト雲丹焼、鰻蒲焼、さわら照り焼、天ぷら盛り合わせ、ヒロメの煮物、 刺身の盛り合わせ、ご飯、吸い物、香の物,
dish2_8,天ぷら盛り合わせ、だし巻き玉子、鰻蒲焼、ヒロメの煮物、牛ステーキ、刺身盛り合わせ、むつ照り焼、粟麩田楽、こはだの酢の物、栗甘露煮、メロン、味噌松風、いか柚子ジュレ、ご飯、吸い物、香の物,
dish2_9,季節の果物２種、だし巻き玉子、サーモンマリネ、広島菜のふわふわ蒸し、海老の塩焼、むつ照り焼、海老いも寿司、梅山ごぼう、鰻蒲焼、蟹甲羅と爪のフライ、こはだの酢の物、刺身盛り合わせ、ご飯、吸い物、香の物,
dish2_10,国産和牛陶板焼OR魚すき鍋、天ぷら盛り合わせ、いか柚子ジュレ、さわら照り焼、黒豆煮、海老ポテト焼、メロン、こはだの酢の物、だし巻き玉子、刺身盛り合わせ、南瓜茶巾湯葉あん、茶碗蒸し、ご飯、香の物,
dish3_1,季節の蒸し物、梅山ごぼう、胡麻豆腐、だし巻き玉子、青菜のお浸し、茄子田楽、茶巾煮、高野豆腐、栗甘露煮、しめじ胡麻和え、人参ゼリー、粟麩田楽、蕎麦寿司、ヒロメの煮物、ご飯、香の物,
dish3_2,ヒロメの煮物、人参ゼリー、蕎麦寿司、しめじ胡麻和え、かつおくるみ、粟麩田楽、だし巻き玉子、胡麻豆腐、高野豆腐、茶巾煮、味わらび、茄子田楽、梅山ごぼう、ご飯、香の物,
dish3_3,しめじ胡麻和え、人参ゼリー、だし巻き玉子、茄子田楽、ヒロメの煮物、青菜のお浸し、高野豆腐、茶巾煮、かつおくるみ、味わらび、ご飯、香の物,
dish4_1,バンバンジー、ポテトフライ、チキンナゲット、海老チリソース、枝豆、ホタテ煮、鶏から揚げ、豚串カツ、巻き海老、肉団子、だし巻き玉子,
dish4_2,国産黒毛和牛ロース（A4）、白菜、春菊、えのき、白ネギ、玉葱、椎茸、焼豆腐、しらたき、人参,
dish5_1,鯛塩焼き,
dish5_2,海老塩焼き,
dish5_3,牛すき鍋,
dish5_4,魚すき鍋,
dish5_5,陶板焼き,
dish5_6,季節のご飯,
dish5_7,五目飯,
dish5_8,白米,
dish5_9,吸い物,
dish5_10,赤だし,
dish5_11,茶碗蒸し,
dish5_12,緑茶 ペットボトル(500ml),
dish5_13,緑茶 紙パック,
dish6_1,季節の饅頭、黒豆串、紅あずま甘煮、天ぷら、酢ダコ、いか柚子ジュレ、ヒロメの煮物、だし巻き玉子、巻き海老、さわら照り焼、しばきくらげ、きんぴらレンコン、味噌松風、鴨黒胡椒焼、胡麻豆腐,
dish6_2,さわら照り焼、里芋揚げ、しばきくらげ、エメラルド冬瓜餡かけ、ヒロメの煮物、だし巻き玉子、枝豆、味噌松風串、青菜のお浸し、胡麻豆腐、酢タコ、海老蟹天ぷら（梅塩）、とろ湯葉刺身、季節の果物２種,
dish6_3,天ぷら盛り合わせ、もずく酢、さわら照り焼、黒豆串、白身ズッキーニ揚げ、味噌松風、だし巻き玉子、テリーヌ、巻き海老、梅山ごぼう、鴨黒胡椒焼、ヒロメの煮物、南瓜茶巾湯葉あん、白身の昆布〆,
dish7_1,果物、お菓子２種、オムレツ、ハンバーグ、グラタン、フライ盛り合わせ、さわら照り焼、ヒロメの煮物、俵ご飯、香の物,
dish7_2,果物、お菓子2種、海老フライ、肉団子、オムレツ、俵ごはん、ジュース,
